2019-04-11T01:39:48.321 CONU9998 requested to borrow an item(CON6758) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:39:48.322 CONU9998 requested to return an item(CON1234) to/from Concordia, the result: success, response is: Item returned..
2019-04-11T01:39:48.322 CONU9997 requested to borrow an item(CON6758) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:39:48.327 CONU9997 requested to return an item(CON1234) to/from Concordia, the result: success, response is: Item returned..
2019-04-11T01:39:48.328 CONU9991 requested to borrow an item(CON6758) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:39:48.328 CONU9991 requested to return an item(CON1234) to/from Concordia, the result: success, response is: Item returned..
2019-04-11T01:39:48.329 CONU9990 requested to borrow an item(CON6758) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:39:48.330 CONU9990 requested to return an item(CON1234) to/from Concordia, the result: success, response is: Item returned..
2019-04-11T01:39:48.333 CONU9993 requested to borrow an item(CON6758) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:39:48.333 CONU9993 requested to return an item(CON1234) to/from Concordia, the result: success, response is: Item returned..
2019-04-11T01:47:35.618 CONU9997 requested to borrow an item(CON1234) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:47:35.624 CONU9991 requested to borrow an item(CON1234) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:47:35.630 CONU9994 requested to borrow an item(CON1234) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:47:35.630 CONU9993 requested to borrow an item(CON1234) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:47:35.631 CONU9999 requested to borrow an item(CON1234) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:47:35.633 CONU9990 requested to borrow an item(CON1234) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:47:35.634 CONU9991 requested to borrow an item(CON6758) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:47:35.636 CONU9991 requested to return an item(CON1234) to/from Concordia, the result: success, response is: Item returned..
2019-04-11T01:47:35.637 CONU9996 requested to borrow an item(CON1234) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:47:35.639 CONU9994 requested to borrow an item(CON6758) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:47:35.639 CONU9994 requested to return an item(CON1234) to/from Concordia, the result: success, response is: Item returned..
2019-04-11T01:47:35.641 CONU9992 requested to borrow an item(CON1234) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:47:35.642 CONU9998 requested to borrow an item(CON1234) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:47:35.643 CONU9993 requested to borrow an item(CON6758) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:47:35.645 CONU9993 requested to return an item(CON1234) to/from Concordia, the result: success, response is: Item returned..
2019-04-11T01:47:35.647 CONU9992 requested to borrow an item(CON6758) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:47:35.647 CONU9992 requested to return an item(CON1234) to/from Concordia, the result: success, response is: Item returned..
2019-04-11T01:47:35.648 CONU9996 requested to borrow an item(CON6758) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:47:35.649 CONU9996 requested to return an item(CON1234) to/from Concordia, the result: success, response is: Item returned..
2019-04-11T01:47:35.651 CONU9995 requested to borrow an item(CON1234) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:47:35.653 CONU9999 requested to borrow an item(CON6758) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:47:35.653 CONU9999 requested to return an item(CON1234) to/from Concordia, the result: success, response is: Item returned..
2019-04-11T01:51:01.048 CONU9990 requested to borrow an item(CON1234) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:51:01.052 CONU9992 requested to borrow an item(CON1234) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:51:01.058 CONU9996 requested to borrow an item(CON1234) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:51:01.059 CONU9995 requested to borrow an item(CON1234) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:51:01.060 CONU9997 requested to borrow an item(CON1234) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:51:01.063 CONU9998 requested to borrow an item(CON1234) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:51:01.063 CONU9999 requested to borrow an item(CON1234) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:51:01.065 CONU9994 requested to borrow an item(CON1234) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:51:01.066 CONU9991 requested to borrow an item(CON1234) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:51:01.068 CONU9993 requested to borrow an item(CON1234) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:51:01.075 CONU9990 requested to borrow an item(CON6758) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:51:01.075 CONU9990 requested to return an item(CON1234) to/from Concordia, the result: success, response is: Item returned..
2019-04-11T01:51:01.080 CONU9991 requested to borrow an item(CON6758) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:51:01.081 CONU9991 requested to return an item(CON1234) to/from Concordia, the result: success, response is: Item returned..
2019-04-11T01:51:01.084 CONU9992 requested to borrow an item(CON6758) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:51:01.085 CONU9992 requested to return an item(CON1234) to/from Concordia, the result: success, response is: Item returned..
2019-04-11T01:51:01.086 CONU9996 requested to borrow an item(CON6758) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:51:01.087 CONU9996 requested to return an item(CON1234) to/from Concordia, the result: success, response is: Item returned..
2019-04-11T01:51:01.087 CONU9993 requested to borrow an item(CON6758) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:51:01.089 CONU9993 requested to return an item(CON1234) to/from Concordia, the result: success, response is: Item returned..
2019-04-11T01:51:01.090 CONU9998 requested to borrow an item(CON6758) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:51:01.090 CONU9998 requested to return an item(CON1234) to/from Concordia, the result: success, response is: Item returned..
2019-04-11T01:51:01.091 CONU9994 requested to borrow an item(CON6758) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:51:01.091 CONU9994 requested to return an item(CON1234) to/from Concordia, the result: success, response is: Item returned..
2019-04-11T01:51:01.093 CONU9997 requested to borrow an item(CON6758) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:51:01.094 CONU9997 requested to return an item(CON1234) to/from Concordia, the result: success, response is: Item returned..
2019-04-11T01:51:01.094 CONU9995 requested to borrow an item(CON6758) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:51:01.095 CONU9995 requested to return an item(CON1234) to/from Concordia, the result: success, response is: Item returned..
2019-04-11T01:51:01.097 CONU9999 requested to borrow an item(CON6758) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:51:01.099 CONU9999 requested to return an item(CON1234) to/from Concordia, the result: success, response is: Item returned..
2019-04-11T01:51:45.971 CONU9998 requested to borrow an item(CON1234) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:51:45.979 CONU9991 requested to borrow an item(CON1234) to/from Concordia, the result: success, response is: Borrowed successfully.
